RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31
395218,345,"Wenatchee, WA",msa,WA,326779.0,324513.0,319333.0,317499.0,315107.0,319159.0,325497.0,324284.0,328294.0,330055.0,337943.0,349616.0,355515.0,360337.0,356719.0,364167.0,365194.0,362627.0,348301.0,355899.0,357360.0,364954.0,353630.0,359055.0,372217.0,383517.0,385461.0,386224.0,388335.0,387269.0,381363.0,388501.0,399459.0,417012.0,425651.0,431108.0,433695.0,433759.0,435756.0,437799.0,435942.0,443943.0,436892.0,440361.0,436374.0,441554.0,454595.0,468556.0,481367.0,484243.0,487173.0,493709.0,477972.0,470627.0,450150.0,459456.0,445955.0,472509.0
753890,347,"Holland, MI",msa,MI,181971.0,180301.0,185328.0,174083.0,173511.0,173052.0,179854.0,174051.0,180453.0,177353.0,191660.0,189186.0,195688.0,188862.0,188485.0,186939.0,188333.0,191342.0,203351.0,208968.0,206962.0,200999.0,202263.0,217038.0,222972.0,231360.0,235114.0,242675.0,236400.0,224415.0,221236.0,230073.0,238918.0,237889.0,230025.0,235418.0,241816.0,249711.0,250239.0,255950.0,259386.0,268849.0,270386.0,274565.0,278937.0,280679.0,283769.0,275815.0,273485.0,272754.0,278583.0,289609.0,284921.0,270540.0,253713.0,259082.0,264733.0,277166.0
394810,348,"Lumberton, NC",msa,NC,82320.0,97014.0,100223.0,100912.0,96521.0,93886.0,94170.0,92173.0,93260.0,88140.0,79686.0,75534.0,81777.0,90361.0,96910.0,109569.0,107783.0,121214.0,105025.0,104385.0,100328.0,92422.0,92685.0,95186.0,104711.0,108181.0,102470.0,112849.0,114112.0,117986.0,115788.0,122659.0,130819.0,135772.0,129566.0,117417.0,120050.0,119875.0,131477.0,121679.0,133871.0,121207.0,132485.0,133132.0,142682.0,136000.0,126719.0,132780.0,138991.0,141425.0,129453.0,123096.0,125191.0,135932.0,121348.0,118327.0,114852.0,128426.0
394778,349,"Lawrence, KS",msa,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279998.0,285823.0,289654.0
394635,350,"Goldsboro, NC",msa,NC,151549.0,148240.0,147321.0,156831.0,160197.0,150558.0,141558.0,142169.0,150073.0,153592.0,153899.0,156278.0,151874.0,147830.0,153811.0,159287.0,170840.0,155473.0,154065.0,148274.0,158291.0,159483.0,158092.0,158814.0,160196.0,163888.0,160626.0,161108.0,167068.0,179697.0,184936.0,179032.0,176873.0,177280.0,184342.0,189345.0,190873.0,192845.0,193581.0,194812.0,187154.0,181937.0,182003.0,189616.0,200502.0,205692.0,216463.0,213708.0,216716.0,212550.0,218955.0,214587.0,214124.0,200933.0,204582.0,204587.0,211104.0,209246.0
395213,351,"Watertown, NY",msa,NY,151759.0,145956.0,149403.0,140501.0,143831.0,139632.0,159153.0,163048.0,166363.0,154490.0,155455.0,157275.0,159218.0,156935.0,162774.0,162558.0,164778.0,155682.0,151966.0,150390.0,152797.0,158519.0,159439.0,159472.0,162199.0,165593.0,170600.0,168446.0,170520.0,170999.0,167686.0,170590.0,169320.0,178027.0,171990.0,176058.0,175096.0,184857.0,180841.0,183313.0,180167.0,183649.0,182052.0,181709.0,179652.0,181255.0,188805.0,198662.0,203111.0,200211.0,195546.0,185942.0,182634.0,182287.0,194833.0,198133.0,196561.0,192220.0
395089,352,"Sheboygan, WI",msa,WI,157365.0,154832.0,154746.0,156675.0,164380.0,167305.0,168879.0,164470.0,159622.0,160621.0,159022.0,163086.0,163751.0,166428.0,166764.0,160443.0,160781.0,165134.0,170613.0,167078.0,167850.0,166735.0,178294.0,176860.0,175724.0,176077.0,176181.0,180731.0,181348.0,174735.0,167955.0,174053.0,185708.0,191430.0,188379.0,183871.0,186947.0,183856.0,189535.0,191976.0,196601.0,193502.0,196392.0,189719.0,193233.0,195798.0,211946.0,224494.0,230610.0,226732.0,214013.0,217505.0,214676.0,218552.0,205683.0,212914.0,217626.0,233973.0
395217,353,"Weirton, WV",msa,OH,85831.0,85491.0,95335.0,95634.0,98975.0,89217.0,92350.0,86448.0,87992.0,85198.0,88623.0,92549.0,97789.0,98593.0,98564.0,96638.0,95582.0,98500.0,95772.0,92277.0,93979.0,96675.0,96223.0,100708.0,104460.0,110194.0,107022.0,110917.0,119030.0,117615.0,118037.0,112320.0,114606.0,114127.0,118178.0,118446.0,116780.0,120465.0,123297.0,121767.0,120264.0,122948.0,130948.0,128406.0,127248.0,129097.0,125676.0,124240.0,118817.0,126136.0,125329.0,126620.0,118152.0,115984.0,113584.0,119574.0,120645.0,127281.0
394867,354,"Missoula, MT",msa,MT,289267.0,292339.0,290937.0,290165.0,297742.0,303748.0,314622.0,306394.0,300100.0,295719.0,303525.0,313496.0,317713.0,322266.0,323042.0,331614.0,327080.0,330160.0,327289.0,333469.0,331269.0,324216.0,321453.0,334145.0,353814.0,365247.0,372789.0,381222.0,405893.0,424006.0,442086.0,431324.0,428844.0,426577.0,448269.0,463108.0,472181.0,473681.0,468831.0,473304.0,468549.0,482613.0,492643.0,516124.0,532610.0,545335.0,562859.0,559291.0,550921.0,530323.0,529854.0,525720.0,516869.0,523375.0,523182.0,537138.0,531411.0,530008.0
394333,357,"Anniston, AL",msa,AL,110492.0,104266.0,110851.0,115040.0,125347.0,129294.0,120542.0,107284.0,102028.0,107194.0,117567.0,115854.0,114859.0,100428.0,104868.0,109686.0,112728.0,109806.0,109702.0,110817.0,116384.0,122022.0,116761.0,110265.0,111147.0,122290.0,130523.0,131312.0,131359.0,130224.0,129650.0,131300.0,135912.0,138497.0,145472.0,149547.0,157449.0,156169.0,156581.0,158456.0,160357.0,158105.0,156743.0,158030.0,163983.0,168016.0,167698.0,161865.0,158539.0,156963.0,156163.0,155912.0,147615.0,144641.0,145442.0,146681.0,146986.0,147927.0
395225,359,"Williamsport, PA",msa,PA,153827.0,151747.0,147322.0,140860.0,139051.0,146599.0,146108.0,149580.0,145985.0,149678.0,142008.0,145771.0,151277.0,157731.0,153534.0,152154.0,153360.0,152160.0,145932.0,143305.0,146238.0,149958.0,157385.0,159876.0,159124.0,150888.0,149970.0,152795.0,156231.0,160372.0,164469.0,167565.0,164011.0,164893.0,165830.0,173999.0,175174.0,175813.0,172198.0,175270.0,175934.0,175677.0,175227.0,174108.0,175392.0,172872.0,173531.0,176572.0,177031.0,181259.0,186494.0,195166.0,186567.0,182647.0,180272.0,191532.0,187047.0,187527.0
