RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30
102001,0,United States,country,,1312.8360992027174,1318.6952307632755,1324.68850827402,1329.942819923319,1334.49755978881,1338.970061590766,1344.4961849359424,1350.5406901294725,1356.3080855236199,1362.2575909270208,1367.8231498560172,1373.1141937800721,1376.7493761625926,1380.053466476612,1382.165348012757,1387.3648986279768,1391.9368508824714,1397.6044175489246,1400.483393933951,1403.8669823606438,1407.3486146768792,1410.3530224393628,1413.0554987599503,1415.177792021106,1421.3976785641446,1427.7291158726025,1435.470257594475,1439.246051055538,1443.837819089567,1447.6091158832749,1452.1069400748904,1456.097348159594,1461.1912365352448,1465.8937783410775,1471.2381011921398,1476.6108529039755,1481.542565801492,1486.647936197823,1491.2900956646577,1496.481144142952,1500.8758915177204,1505.4975313838095,1510.6967567480403,1516.229993949145,1520.9506077568196,1526.4095326342656,1532.5198231742288,1538.8242930669594,1543.4369459468137,1547.379159005745,1551.7219471704168,1557.054911082537,1562.8269934792752,1568.6459968603283,1574.245627260984,1579.743264729633,1585.3320395141243,1590.6606974018384,1595.2713449439964,1599.9075277431434,1605.3374354602338,1611.2636254030588,1616.5901174220187,1612.763038705039,1606.28505758974,1600.787261837335,1600.472108219128,1600.3785251635024,1601.4531888302572,1606.0006196981597,1614.4667386780516,1623.0348401722697,1631.729288239556,1640.0044427562868,1652.7239176734274,1671.1750418187007,1694.925005175007,1721.6171289139695,1748.4740924419839,1777.292434709869,1805.6319230700785,1830.3047363880817,1852.12825109258,1872.3376831078801,1890.832038836783,1909.4175615993497,1925.2902087445027,1942.3739700417163,1957.4406332898554,1972.3166172210222,1981.6973736461512,1989.4560967671578,1996.9895365123227,2005.3837597311167,2013.6724609932808,2022.4774386331028,2031.6326567309343,2039.9506546151395,2047.631771837052,2051.8585507926464,2054.2368024274056,2053.8955564204184
394913,1,"New York, NY",msa,NY,2524.1516630491205,2541.432483658321,2554.5846856661606,2566.980893024369,2570.5437438021722,2575.969441072537,2581.952270717267,2591.7019121508915,2600.267379009335,2607.734701497206,2614.3001956644885,2620.4783228434976,2624.589938940622,2627.09325583199,2626.511222100534,2629.161965108945,2632.817075329508,2638.3905346714755,2643.456518961354,2646.788646202429,2650.0205359394454,2654.767987318041,2661.555383871082,2662.2099368978684,2667.3175312358603,2667.20528816901,2674.398398782147,2674.2189069882147,2680.37860091131,2682.7919810063963,2685.874345698243,2686.0645333147513,2689.8951319089456,2689.887275726998,2691.4293275082914,2693.8523366990107,2698.134956027774,2703.4729391270243,2707.9990266444174,2716.7561278936096,2721.7060433812235,2725.643925118995,2730.3270269986792,2738.9350056863277,2746.7280627365226,2751.3979478510428,2758.0096145104912,2764.485601393775,2770.7971882789766,2777.026736133751,2782.485045405727,2787.9474491475326,2793.674823509424,2801.8987154938563,2809.7166086812417,2816.49923117663,2822.5807229538477,2832.996058096259,2841.192509084313,2850.733590629774,2859.0907865388886,2868.58290709156,2861.957304523884,,,,,,,2603.9447792277147,2594.243242553502,2595.5248072656855,2598.429864030219,2602.650302855994,2616.231007670978,2636.3400325153393,2668.8959063824054,2709.1275187254623,2757.949640764757,2818.6326285732844,2884.6509858775535,2943.0963538766005,2997.6449434528477,3043.193122576534,3083.7675410737925,3119.8980896709963,3150.2985267818513,3179.752133763722,3210.6724892095094,3244.538648393813,3269.3420215451397,3290.227970552961,3306.7155717104074,3319.758570600897,3328.3763368182963,3338.532941760365,3352.031369841124,3367.42570088188,3382.8497852716837,3397.455313807881,3404.6725605420297,3404.838966666839
753899,2,"Los Angeles, CA",msa,CA,1920.203149035252,1929.851539177196,1939.8327588120562,1949.7950714010317,1957.9653478705984,1966.722102978962,1978.6205188694391,1990.2673050800636,2002.6488694090806,2014.6552972860686,2027.2690361648863,2041.3107475916556,2050.3582479153633,2059.958400992414,2064.872671336273,2073.454268657402,2081.429864714193,2091.8963061730587,2099.9535630686546,2107.7870137312134,2116.345194741422,2123.189768374298,2130.4146204520503,2135.5630032571357,2152.172752167147,2166.773780549756,2186.07030770298,2195.470145673576,2205.4288699950635,2212.4077524692498,2220.6554158760055,2228.2151035752245,2237.2840361163885,2245.3038566832834,2255.1468251502415,2264.251710331929,2272.087753141731,2280.7304323699173,2286.6235235861977,2295.4100853923132,2302.674799914327,2312.468693512185,2321.3316873444287,2331.450388144304,2339.7002004935384,2350.540471965561,2360.6172494777334,2370.126853301347,2373.952742855437,2378.5868223313473,2384.5464687746858,2392.3641897820617,2401.1164481567794,2408.665047754089,2416.480007829077,2423.5016376621593,2430.748214397832,2436.657738252616,2441.9446234538236,2448.308997054613,2457.252499075061,2465.4653024765985,2461.496732203233,2448.803688953994,2435.7043561523624,2423.164930263729,2416.86668905887,2410.2096950398327,2410.5541909829444,2417.232447899759,2428.7924247293345,2435.476331418606,2441.2176349166125,2447.8850983662783,2460.4650552066228,2477.096921958584,2499.567535363497,2532.2475782789597,2572.083212441386,2619.854631568945,2660.963192797402,2697.347989910373,2725.0288517481686,2755.986937949312,2784.822170394306,2813.9458199156984,2840.126567592424,2867.1725125929515,2894.109607864296,2913.1445549490445,2922.670972375078,2926.3111551466864,2931.8392776761466,2937.924814812093,2947.6650037713025,2956.3615313928503,2965.4594023307827,2973.40666757715,2980.248055575124,2984.8474231135133,2984.478258265009,2982.773016550071
394463,3,"Chicago, IL",msa,IL,1518.9411993977005,1520.6604771000655,1526.0714099486336,1531.1594013285435,1535.8717376618301,1537.765439379998,1541.0757583631146,1544.9379051779456,1548.8019958814973,1554.263028919897,1561.0156529653866,1567.6695860974487,1571.6652840035078,1572.618556938065,1573.6207755189537,1574.9183370338396,1578.2675182346236,1583.2243639991902,1589.2961593452378,1595.9550701099922,1598.8994204318842,1599.3991832388208,1594.6264056749599,1590.417338106842,1594.1765786125352,1603.2360067893003,1614.2499061870612,1618.5671536547352,1622.3693916815828,1623.1337144197446,1624.3389799306758,1623.8520814649187,1628.0473093632195,1631.0312641959472,1636.489612074376,1641.3058647283199,1644.2515095592007,1647.3184788787914,1647.5340993595441,1650.3283016433545,1653.0101858615708,1657.9302343750535,1661.8421364604756,1663.5821104209388,1663.7330277109145,1666.1927465355002,1671.7693603851078,1679.605460397213,1683.004672984231,1685.5747406117719,1688.4177864430847,1692.552983060029,1696.7299849959054,1700.4559265411071,1704.6183766157314,1711.2148610076233,1717.56107414882,1723.2129720430596,1726.3317039401227,1727.9877345022383,1732.5457236944058,1736.812334979625,1742.264429981214,1731.4248746460837,1720.1333475053677,1710.6957534191665,1706.8035296855319,1703.4842734535653,1698.074661088733,1691.4541073728399,1688.110561934973,1686.4101975606848,1683.0286755336608,1684.7348556122554,1693.4216170761115,1713.4537384847763,1733.0602092424606,1751.705783924737,1767.3728922042658,1784.2415682246897,1800.9179555245953,1816.3377882495902,1831.9437798620352,1847.6532844430549,1864.6382163145336,1878.99275603473,1892.4543108781768,1905.1074334146242,1916.3371687008664,1926.702640861758,1938.2445630863497,1948.471366223028,1960.2461277767857,1973.9009584984628,1986.3477750740778,1998.4897126711705,2009.4856124305034,2020.4840418389967,2028.8850140736392,2034.5073367566347,2041.7236390677997,2049.8485649815343
394514,4,"Dallas, TX",msa,TX,1176.071443241494,1180.2830104234358,1184.7126905345058,1190.7211268216824,1196.1192959163673,1201.5077165211544,1206.976701260926,1211.688576343525,1217.0477574567083,1222.2926673964525,1228.920953452955,1235.219522592526,1238.6436657612574,1243.0336807466695,1247.1369653027668,1253.033675872006,1256.1499007028767,1260.359674500682,1263.7864985286985,1268.925946290569,1272.8598156714286,1277.153661213367,1280.9971766306248,1284.78140293302,1292.7414773404353,1298.422470160779,1306.691342088151,1310.7069303845276,1318.6551323796298,1322.1678328882426,1326.5049162586406,1329.8868791115983,1334.5906087057385,1337.4110554724887,1342.809576389112,1347.6721860738146,1353.3746368552422,1358.2208124474093,1359.7939546676369,1362.3515695921565,1363.52332139825,1369.0431750463595,1373.2763257519775,1377.4529899731344,1379.9539992574257,1386.1551170061641,1391.20360790415,1397.492759002752,1400.0334859109055,1402.7771056479212,1407.6336268612413,1413.3003343267833,1418.579440547481,1422.3277159824204,1426.687475380053,1431.0595779898774,1436.1470798417715,1439.0765185142154,1441.5511458635408,1443.2366142557496,1446.485381749354,1450.3149794422336,1457.8317705577174,1455.1506702320994,1448.752148853799,1442.5134501031696,1440.7137062399709,1443.430906941973,1449.7138845392194,1459.632679014923,1470.5824366931613,1481.526858166039,1487.6372719842586,1493.7290845865318,1501.9715993871314,1520.4473042236857,1544.6363967921402,1571.5571190201197,1599.0954061347547,1629.2996867276534,1658.6325303399271,1683.2834251552615,1705.716547613151,1726.9160834385289,1747.5364950130856,1763.9918959259765,1777.400669258062,1793.7537738081064,1809.9470658938392,1827.5748624583618,1835.9658906036254,1839.3641948733448,1841.03941231691,1844.0889340771525,1847.9938193377363,1852.0080900458167,1857.213780758172,1863.7596084618744,1870.19742250859,1868.507388648225,1862.7979174654586,1852.8600512781995
394692,5,"Houston, TX",msa,TX,1302.478995423016,1304.8912327897986,1307.8631140604991,1310.9903454607297,1312.9648151253691,1316.704490209458,1319.833712687945,1323.5251402248007,1323.786418095004,1325.590001594484,1328.3163662425295,1331.491553326715,1332.3969273554187,1330.353765024429,1330.4230690848067,1329.1840953461733,1327.0446887061964,1323.862337774986,1322.633024677974,1322.488441156652,1319.8226881435755,1314.1092204148124,1307.3043261551686,1303.1246217241737,1310.4986726595164,1320.6819528269339,1331.5157034587287,1331.3064192181241,1334.920904922748,1334.49832200279,1337.149307725076,1336.9095691941043,1348.8043013948222,1361.0550524762382,1374.3100993817613,1382.6263009440129,1383.9455354240072,1386.473346175656,1382.8295722158061,1387.2153035276997,1385.8143804611032,1389.7774099855346,1391.0231156312966,1395.1254077943827,1395.1721414407266,1396.3491702451452,1398.8956415555708,1399.5044872648139,1400.5880736768604,1397.7699033563983,1401.3643843901054,1404.5822103717367,1410.572851765718,1414.5844871317495,1418.7992656350925,1422.0461320403883,1423.0890259036266,1423.8877165962847,1423.6120577918975,1426.962428824246,1431.2671610544119,1437.682827132737,1444.568316845198,1439.3894808241748,1428.3148095710474,1417.7137291106535,1416.8725929853533,1420.0282334270983,1424.7362642741796,1431.0416410197827,1438.2313022795267,1442.6734141067525,1443.6416619163317,1440.7172431377999,1444.7342308906843,1457.2467754442828,1477.9844581522402,1501.4930677192074,1522.003573054166,1542.4128728953488,1560.9013633809425,1575.2381745833657,1586.5030903900265,1597.4481848380028,1607.697543993223,1619.3889203546191,1628.3864177701487,1638.7770141341675,1645.7284180493268,1653.1305201874889,1655.1382542167423,1656.020417638207,1658.2107150670167,1662.7143245718803,1669.2279342356146,1676.4163568111196,1685.5764248618373,1694.624790453358,1702.5350924867562,1706.4048926500782,1709.3676949721619,1710.3902254198083
395209,6,"Washington, DC",msa,VA,1826.414032203743,1830.2346796147451,1835.583386238151,1836.1814174484055,1839.0068480486225,1839.2019598114753,1840.4073960858896,1840.6796636156807,1845.239338285177,1852.0172637443925,1860.179413917655,1863.923452168648,1863.7803573067595,1862.4320583877593,1862.1444325108987,1864.709024232052,1868.9581097773766,1872.390522954775,1874.899585467713,1878.3174307718414,1880.3635467284332,1879.926889277158,1878.7959446619443,1879.8266542787646,1886.2036630865202,1896.203325641355,1904.4887809514678,1909.43491654176,1909.08403664323,1911.4841011414683,1913.3535192339295,1916.0534148074469,1919.4905490478384,1924.0022147682507,1926.3565842577532,1928.9230364254627,1930.9792094867996,1933.0237629262574,1937.998380525989,1942.903092442265,1948.790440343942,1952.7158487156873,1957.5332694950553,1963.2882988744573,1965.01740267238,1970.4008977585988,1979.639359933699,1988.893762749971,1992.579398500497,1995.038112670223,1997.277254591122,2000.907711942092,2006.1025868317502,2011.8416140790348,2017.397041051964,2021.709551988241,2028.985781022197,2033.3607970924593,2035.9570952503489,2038.1727491851304,2044.0635356307473,2050.28665854178,2060.068923571022,2052.0484246981023,2039.5952673708891,2023.2384758484488,2012.6809175737847,2005.9062466881485,1999.027644291633,1994.5009660135272,1989.6807958394063,1985.051826359416,1985.0002395767046,1988.2572213426347,1994.2497659134629,2006.0356219690716,2026.1657873774577,2054.5959922461634,2081.4728038236194,2109.3465878194297,2134.452228948574,2159.710881911675,2180.3919359938545,2199.343959693264,2211.547493813333,2222.4122384488605,2235.123949571017,2250.2136729954586,2263.6892978043184,2273.81336503761,2279.5769069245107,2283.280815039109,2288.967372664378,2293.8582259725354,2302.6340314513636,2312.103298126237,2323.757515817023,2334.9153418806072,2343.425419078476,2348.7254005594027,2351.273308525193,2352.452784080884
394974,7,"Philadelphia, PA",msa,PA,1335.5481808912618,1338.331485737351,1344.7606909418669,1347.9238877384828,1351.8732048734394,1352.0830297827385,1355.325505090935,1357.7580637233864,1361.7774678958594,1366.6360377368458,1367.4426334226655,1367.1591557897234,1365.3251635492823,1371.8160101262524,1375.3605924955186,1381.7074838863302,1384.6994840423508,1390.8177680742226,1393.2170366920673,1395.5174718983878,1395.8985995572464,1395.8241337312948,1402.0368314376512,1405.834491416986,1412.7659530569872,1412.6073904987175,1417.3206239997544,1418.686309773102,1421.4399311719953,1421.2787005966113,1424.304544254338,1428.9129934678608,1434.9540910269955,1438.744264294704,1440.1652385766922,1445.9883172760478,1449.4061735347918,1453.799691527365,1454.9183845225327,1458.5250648926426,1463.8771231301387,1467.6869763682657,1471.0397716744887,1474.2053993874856,1478.6450931966044,1484.897856156915,1490.6690311604775,1492.931172479594,1497.1626172624324,1500.8167285793313,1506.4298915787763,1511.3793080066037,1515.0807298043187,1520.9858292512058,1526.4456058065543,1531.407650191599,1535.1221581836817,1538.7084252894906,1542.7983269464378,1548.0803913783318,1552.592161317804,1558.3980427594427,1563.5275339072612,1561.7986080348728,1557.1619588393805,1554.5242753459895,1557.345676953043,1558.2020807339545,1561.35318042744,1567.114766580963,1576.1197925749664,1581.8898367622708,1584.0780722437464,1586.930074760147,1592.9612205370656,1607.640923557209,1625.007093239838,1642.4475331330214,1657.9061360482428,1677.0519038701989,1695.4557546715087,1712.680522568682,1725.3078696755947,1742.6516335904346,1757.6733320206058,1772.1198651310847,1781.2153695095483,1790.8072877261172,1799.0510647893477,1809.4289583594318,1816.489922103583,1821.7462740953724,1826.798061212855,1830.8984770022894,1836.5278416738586,1839.2964453666054,1845.48026962549,1850.5712524106439,1858.1150707113006,1861.3627708263577,1864.1938874541668,1864.1299965508558
394856,8,"Miami, FL",msa,FL,1590.0259510209692,1600.4341039584428,1608.0987653292473,1616.0527946474656,1623.6154043804133,1631.3827609898997,1639.093344641887,1646.0535153912517,1655.217609276173,1662.6596291382837,1672.1034776706686,1678.868348293445,1685.2771257984916,1688.5487935166193,1691.2120707954025,1694.5345737573607,1695.7882122114092,1696.1961583941659,1695.5455723684945,1697.374195281047,1699.497175644045,1700.4149348486314,1703.8051802606642,1704.1906819114906,1710.1616211104686,1713.8548784337383,1723.193975021406,1725.924632778922,1729.0863353917885,1732.8214930584281,1738.5450908150126,1744.3534996374513,1749.1765328594815,1753.9255323997959,1754.7798505089963,1757.0652082068184,1760.6046378581118,1766.9104953191409,1772.271294037637,1777.5051155211534,1783.051258444228,1788.6818741359125,1794.7942535204277,1800.1765343757922,1804.2174103044679,1807.303585700965,1811.497699778395,1818.0586122819552,1821.907077578974,1825.136232455378,1826.4255712006775,1831.1755011367666,1836.1386137525717,1841.1147403334123,1845.165645413532,1849.4471840535514,1855.3408224407688,1862.507519069047,1870.4017316536022,1876.717781927086,1883.6802403100924,1890.6669569378107,1893.1598154497726,1889.7629592654994,1881.6065693491787,1877.2935209961347,1877.0546242884018,1880.4900476204612,1885.607891699857,1899.6646326403627,1918.8594113124889,1937.126598772982,1958.5636877890972,1985.0801296809934,2014.6665179558568,2049.7087993810833,2095.04566804644,,2221.500228478405,2290.9885813078126,2354.036725760124,2408.619311255116,2457.6955361400705,2513.5325699321106,2568.9988691184926,2614.9869858811358,2659.6514546881263,2699.10548178892,2735.3206820220535,2753.7553680579394,2766.55474094562,2775.585957450916,2789.4638740031455,2804.160037646931,2819.1097939358933,2827.1662580226675,2831.985034052875,2838.5682130694686,2842.195009566299,2844.862169495015,2841.4511597421715,2838.949319357467
394347,9,"Atlanta, GA",msa,GA,1090.9669438223466,1096.2330658641981,1098.3314133300212,1105.226255981622,1109.4568524142567,1116.947127246461,1122.1578378765992,1127.6947797706,1133.6986336351904,1138.3789235451993,1143.0342953270515,1148.0541250103372,1154.036630089437,1160.2452493402038,1166.3430110078918,1170.660447604979,1175.4938865501292,1179.623651623252,1185.594887747157,1191.8320951588241,1197.6758830561698,1202.5390541482818,1207.017427681959,1212.0398275024343,1218.2304920857798,1225.5349885279704,1233.4404895716743,1240.1692225967224,1247.5115330576525,1254.527756323554,1262.783739293296,1269.048727913805,1275.2121240605716,1279.167153766535,1284.934882861048,1290.2837948747585,1297.677778751872,1303.2517578582967,1309.6904859348358,1316.9319810814238,1325.2664511083497,1331.925795715598,1337.187696244269,1341.995197528276,1347.2220083523894,1358.4493295193697,1369.105452827356,1378.3074008187107,1384.2429928566953,1389.9290667616694,1396.008322993393,1402.261614212246,1407.2895312197252,1413.8449985537502,1420.4825770093228,1428.358504116571,1435.890897470344,1439.8894644989748,1443.3097265340589,1447.820688830816,1453.353179105778,1459.6096986622847,1466.411805746586,1467.2568368493598,1466.1561241596867,1466.6128228100981,1473.5713857755704,1482.9500545948258,1494.6347762743412,1508.0628861483412,1524.1076345173021,1539.2965519322072,1555.995644727107,1573.8706762335762,1593.1445041235097,1616.8834475140488,1645.130212110307,1682.0529423373266,1714.7306886221488,1751.9123823355294,1782.8315618099302,1812.9517503564477,1833.4168668688062,1849.3794199970205,1863.5790142185135,1876.0572906679124,1892.6489514392906,1904.786476877555,1920.7729894334032,1935.2468928757935,1941.157411688388,1941.6035585925868,1945.2469260757025,1948.4447099166666,1957.1043010759047,1968.6820623613164,1978.996711147246,1988.4351901439497,1993.280049607087,1998.7283812322437,1997.7131255864401,1991.414164880235
