series,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Reported,24779,25593,22491,20892,21610,20993,22008,21994,23960,25609,24217,25403,29474,28325
Cleared,8383,9622,9864,9531,8511,7830,5943,6901,8336,8830,7157,6819,8172,7464
