Date,Population,Annual Change Date
2008-12-31,1674000,2.89
2009-12-31,1722000,2.87
2010-12-31,1771000,2.85
2011-12-31,1821000,2.82
2012-12-31,1873000,2.86
2013-12-31,1926000,2.83
2014-12-31,1981000,2.86
2015-12-31,2038000,2.88
2016-12-31,2096000,2.85
2017-12-31,2156000,2.86
2018-12-31,2217000,2.83
2019-12-31,2269000,2.35
2020-12-31,2320000,2.25
2021-12-31,2368000,2.07
2022-12-31,2413000,1.9
2023-12-31,2454000,1.7
