Date,Population,Annual Change Date
2008-12-31,4727000,2.63
2009-12-31,4850000,2.6
2010-12-31,4976000,2.6
2011-12-31,5106000,2.61
2012-12-31,5239000,2.6
2013-12-31,5376000,2.62
2014-12-31,5516000,2.6
2015-12-31,5660000,2.61
2016-12-31,5807000,2.6
2017-12-31,5959000,2.62
2018-12-31,6115000,2.62
2019-12-31,6245000,2.13
2020-12-31,6371000,2.02
2021-12-31,6491000,1.88
2022-12-31,6603000,1.73
2023-12-31,6707000,1.58
